nb_epoch,neurons,rmse
10,1,20.58593000507736
10,2,13.193886721395744
10,3,19.878312249005052
10,4,14.235723073902443
50,1,14.293844244756807
50,2,14.035040265392453
50,3,14.900248846412188
50,4,12.610403992203938
100,1,15.919147402427798
100,2,14.835131096189766
100,3,15.57361947193309
100,4,17.39342305363644
200,1,25.48367036096187
200,2,17.196552125635183
200,3,16.28968267362576
200,4,17.300978137316026
